Customer_ID,Gender,Age,Country,State,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Method,Purchase_Date,Customer_Rating
1,Male,59.0,Germany,Berlin,Clothing,T-shirt,1.0,1134.7,1134.7,UPI,2024-09-17,3.0
2,,47.0,Australia,NSW,Clothing,T-shirt,3.0,859.85,2579.55,Card,2024-08-13,
3,Male,50.0,Canada,Ontario,Clothing,T-shirt,,298.16,,Cash,2024-12-24,5.0
4,Male,38.0,Australia,NSW,Clothing,T-shirt,3.0,1043.7,3131.1000000000004,Card,2025-02-23,3.0
5,Male,49.0,USA,NY,Electronics,TV,,1875.05,,UPI,2024-09-15,
6,,,USA,Texas,Books,Novel,3.0,1279.91,3839.7300000000005,UPI,2024-06-18,1.0
7,,20.0,Canada,Ontario,Books,Novel,3.0,1450.48,4351.4400000000005,UPI,2024-11-25,4.0
8,Male,45.0,Australia,NSW,Books,Novel,,1797.46,,Cash,2025-01-29,1.0
9,,,Germany,Berlin,Clothing,T-shirt,3.0,1023.22,3069.66,UPI,2025-03-28,3.0
10,,,Germany,Berlin,Clothing,T-shirt,,706.3,,Card,2025-06-03,3.0
11,Male,23.0,USA,Texas,Electronics,Phone,3.0,1562.94,4688.82,Card,2024-11-02,2.0
12,,27.0,USA,NY,Books,Novel,2.0,675.0,1350.0,Card,2025-05-10,4.0
13,,,India,Karnataka,Clothing,T-shirt,1.0,1798.41,1798.41,UPI,2024-07-26,1.0
14,Female,18.0,USA,Texas,Electronics,Phone,1.0,1536.9,1536.9,UPI,2025-03-19,5.0
15,Male,,India,Telangana,Clothing,T-shirt,,370.31,,Card,2025-04-22,2.0
16,Female,54.0,Canada,Ontario,Clothing,T-shirt,,1323.33,,Cash,2024-12-01,1.0
17,Female,,India,Karnataka,Clothing,T-shirt,2.0,1682.47,3364.94,Cash,2025-01-14,1.0
18,,22.0,Germany,Berlin,Clothing,T-shirt,,1896.85,,UPI,2024-08-23,1.0
19,Male,18.0,USA,Texas,Clothing,T-shirt,3.0,555.58,1666.7400000000002,Cash,2025-01-26,3.0
20,Female,,USA,Texas,Clothing,T-shirt,2.0,1733.48,3466.96,Cash,2024-11-28,3.0
21,Female,,Canada,Ontario,Electronics,TV,,902.02,,Card,2024-10-19,2.0
22,,,India,Telangana,Electronics,Phone,,1009.08,,UPI,2025-01-18,1.0
23,,23.0,Canada,Ontario,Books,Novel,3.0,804.94,2414.82,Card,2025-02-12,4.0
24,,29.0,Germany,Berlin,Clothing,T-shirt,3.0,889.8,2669.3999999999996,Card,2024-07-08,5.0
25,Male,59.0,Germany,Berlin,Clothing,T-shirt,,364.46,,Cash,2024-09-27,2.0
26,Male,33.0,Australia,NSW,Books,Novel,3.0,1678.26,5034.78,UPI,2025-06-13,1.0
27,Male,28.0,Australia,NSW,Books,Novel,,1880.43,,Card,2025-06-05,2.0
28,Female,,USA,Texas,Clothing,T-shirt,3.0,980.78,2942.34,UPI,2024-10-28,4.0
29,Female,,India,Karnataka,Books,Novel,2.0,1467.22,2934.44,Card,2024-10-22,1.0
